,text
64,"鯱戦カットされるかもと思ってたからあってよかった〜！そして0番隊キッズ・・・いたよね・・・！？！？見た瞬間心臓がドッッッッ！！！！ってなった
"
65,":re2期も1話目からマッハ展開でぶんぶん振り回されながら観たけどop曲とed曲は最高に'""回帰""""ってやつを感じて産まれたての赤ん坊の如く泣いた
"
66,"ツイッターはジャンルごとにアカウントわけてしまう習性があるけどピッシブくらいは同じアカウント使おうかな・・・わからんけど・・・アイナナの絵もそのうち！
"
67,"喰種log | ケムリ #pixiv  [R-18] 喰種log2 | ケムリ #pixiv  今まとめないと一生まとめなさそうな気がする… 
"
68,"それにしてもヤマさんの成長記録愛おしすぎん？全コマ抱きしめる
"
69,"時代劇のユキさん作画後ろで髪しばるくらいかな〜と思ってたけどちゃんとちょんまげ姿なのっち先生の本気を感じた😡伸びかけも結んでるのもかわいい…モモちゃんが雑誌見ながらワイルドヘア〜にしてるコマもかわいい…
"
70,"昨日ララデラ読んだんですけどユキとモモが抱きあうシーン、小説でも野太い声で嗚咽漏らしながら泣いたけどあらためて漫画で見ると""面""の力がつよすぎて激しい動悸と息切れを起こして一旦ページを閉じたよね…
"
71,"モモの寝相、赤ちゃんじゃん。。。守る。。。
"
72,"オンリー名かわいい…😭💚💖
"
73,"肉球に挟まれて圧死したい…
"
74,"わーいおすすめさっそくありがとうございます！読んだ(観た)ことないやつばっかりだ〜！楽しみ😊(青年誌から少女漫画までなんでも読みます、ありがとうございます！)
"
75,"そういえばみんな宛のマシュマロシャワーというやつ、いくつかいただいてたけど私が返信していいものかわからず返信できてない…！でも嬉しかったです！送ってくださった方ありがとうございました🌟
"
76,"明日家から出れるかな〜おすすめの漫画とかアニメあったら教えてください！ 
"
77,"スカポお前だけだよ俺を裏切らないのは………………………………………
"
78,"TLで誕生日の方見かけるたび心の中でめっちゃ祝ってます🎉今日誕生日の方多い？？？おめでとうございま〜〜〜す！！！
"
79,"リヴァーレ手枷事変、レイアウトの都合上手枷消して移動させられたのまでは普通にわかるんだけど二人の手がぴっっったり重なる配置なの、ものすごく強い意志を感じて満面の笑みになってしまう
"
80,"っち先生の絵見る前に描きはじめたやつなので(描くのが遅い)こういうとき照れるのはユキさんかな〜って思ってたんだけどあんなモモちゃんのガチな表情を見てしまったらあ〜もうこれはガチでガチのやつですね…ってなるじゃんね
"
81,"ユキモモ 
"
82,"りょ〜さん・・・😢
"
83,"TLで乳首触られてるの？とか後ろに指入れられてるの？とか言われてるの面白すぎて爆笑してる
"
84,"なるほどな…(なるほどな…？)
"
85,"イケメン定食屋毎日通いたいけど初回で自己破産✌️😂✌️💸
"
86,"モモのラビチャ男と女の会話じゃなくていつもただの女子会トークなの本当にかわいい〜 のろけ話しかしないパイセンに慣れてるとヤマさんとかガックとかの読んだとき彼氏か？！？？！ってすごいドキドキしてしまう・・・
"
87,"今年のナンジャもめっちゃかわいいけどやっぱりこのかっこめちゃめちゃめちゃかわいいな？！と思いながら描いた🐱
"
88,"🐾 
"
89,"前に麻婆さんがおっしゃってたモモはかわいくないところもかわいいという言葉がひたすらわかり哲也なんだよな・・・
"
90,"いや〜三周年ストほんと・・・押したら引くくせに引いたら掴みかかってくるモモという男いじらしいがすぎる
"
91,"あーっお客様！！困ります！！あーっ！！！お客様！！あーっ！！！
"
92,"すべてがかわいくて日々の疲れがぶっ飛ぶ😹
"
93,"エロ同人が・・・増える！
"
94,"ユキってどうしてそんなにイケメンなの〜！？ってモモちゃんが聞くと、モモに見つけてもらうためにイケメンに生まれてきたんだよ＾＾って言うユキさん
"
95,"ユキモモが好きだなあ〜〜〜〜〜〜！！！！！！！
"
96,"三周年ストを読み宇宙猫の姿になってから戻ってくるまでに一週間かかった
"
97,"三周年ストを読みました※幼児化 
"
98,"モモくん…す〜ぐ彼氏との約束やぶって一人でどっか行ったり危ない目にあおうとするので…最近は手錠で繋がれたり首輪つけられたりしてます。てアナウンスいれながらっち先生の絵見るの楽しい
"
99,"三周年おめでとうございます…百くんちょっと焼けた？キャワウィ〜ネ〜⤴︎⤴︎
"
100,"ボイス追加されたの知らなくて突然の「メールだよーん！」にびっくりしてｱﾋｨ!!!!!て奇声あげながら後ろの壁に後頭部強打した
"
101,"すでに20億万回くらい言われてるだろうけどアイナナの中ではお母さんっぽいそーちゃんと皆の弟っぽい環くんがぽんって見知らぬ赤ん坊渡されたときにどうすればいいかわからなくて戸惑うのが大人に囲まれて育ったそーちゃんで慣れた手つきで上手に… 
"
102,"チャンモモ怖いの好きなくせしてカメラ回ってるって気づいたとたん怖いよユキ〜！><ってぶりっこしだすとこ超超超すき
"
103,"メッゾとリヴァーレ 
"
104,"っち先生のモモくん、全てのコマに天使の羽が見える・・・・・・
"
105,"ユキさんって最初は赤面したり汗かいたりしないクールなキャラなんだろうな〜と思ってたけど普通に赤面するし汗もかくし白目むくし運動できないし八乙女楽みたいなイケてるセリフも言えないしかっこ悪いところがいっぱいあって、でもそういうとこも含めていつのまにかめっちゃ好きになってしまったな〜
"
106,"モモくんのハンコ注射の跡に気づいてもらえて嬉しい😊へへ…へへへ…✌️
"
107,"リヴァーレ結成して最初の夏くらい(のイメージ！)
"
108,"夏は苦手だけど夏の推しは好き 
"
109,"はもさんのイラストほんとかわいい🙏😭
"
110,"やっぱサイテク衣装みんな袴とか穿いてて男らしいのになんでモモは生足で天女様みたいなカッコさせられてるんだろう？？？？素直に射精です
"
111,"すごいえっちな衣装だな〜
"
112,"了さんモモの彼氏とスタイル似てたら了モモが捗るな・・・って思ってたけどマッジで同じ身長なんだ・・・了モモが捗るな〜
"
113,"リバーレチャイナが似合う🙏😂
"
114,"イエスノーまくら調べてるときにお尻にYES❤️って書いてるボクサーパンツがあることを知ってしまいモモくんに履いてほしい・・・って思った もしくはすでに持ってる🤔
"
115,"アイナナ&トリガーのこんな先輩は嫌だ「寝室にイエスノーまくらがある」
"
116,"ユキモモ 
"
117,"でも私生活ツイートを一切せず推しへの愛をひたすら語ってるアカウントもめっちゃ面白くて好きだな〜！私はこの人のことを何も知らない 年齢も性別もどこ住みかも普段何をしている人なのかも・・・でも性癖だけはめっちゃ知ってる・・・みたいな人
"
118,"ジャンルで繋がった人がジャンル以外の話してるの好きだからもっと聞かせてほしい・・・何が好きとか私生活の愚痴とか今日何食べたとか髪切ったとかネイルしたとか・・・もっと聞かせてよ、君の話😉って彼氏ヅラしてしまう(こわいこわいこわい)
"
119,"アイナナ声優さんたちがわちゃわちゃしてるのめちゃ可愛い〜！🌟さんが後輩たちとツイッタで盛り上がる傍ら🌸さんは自分のブログで百を絡めた親父ギャグ披露してるのすごいリバーレ感あって好き(時差ツイート)
"
120,"大和さんには頭が上がらない・・・いつもお世話になっております〜！
"
121,"マシュマロtosで返信しました！なぜ返信は100字までなんだ…実際には文面の1000億倍くらい喜んでます！ありがとうございます！
"
122,"コミュ障なんでツイッターも壁打ちみたいになってるけどナナライを経てからいろんな人とコミュニケーションとりたい欲がすごくて…(アイドリッシュセブンは人格を変える…)でもやっぱ根がコミュ障なんで基本的にはコミュ障なんですけどしばらく置いておくのでよかったらかまってやってください〜！
"
123,"マシュマロtosで返信してみました！(できてる？)お題箱みたいなつもりで置いたけどあたたかいメッセージありがとうございます…！うれC〜😭
"
124,"使い方よくわかってないのですが設置してみました！質問とかお題とかありましたら答えられるものには答えます…！お気軽に〜！ 
"
125,"なにかと年上年下を気にするふたりが毎年一ヶ月半だけ同い年になれる期間があるのメ〜チャ愛おしいし、そう考えるとユキさんがバンさんの年齢に一生追いつくことができないのもなんだか彼ららしくて…恋しいような…切ないような…心強いような…
"
126,"今年リバーレのアルバムが出る頃にはユキとモモが同い年なの、なんかいいな(まぁ永遠の25歳と26歳なんですけど…)
"
127,"ユキモモ読んでると調理シーンや食事シーン多いけどだいたいユキさんが作ったごはんモモくんがぜんぶ綺麗に平らげて美味しかった！ごちそうさま！おなかいっぱい〜ってなってからお行儀よくベッドにいくわよね えらい
"
128,"アイドリッシュセブンに出会えて幸せだなあ
"
129,"遅くなったけどナナライ楽しかった絵！リバーレ編 
"
130,"前々から思ってたんだけどアイドリッシュセブンの民の幸福度指数めっちゃ高そう まだアイドリッシュセブンに出会ってないこの世の全ての人々 はやくアイドリッシュセブンに出会ってほしい 幸せになれるよ〜(宗教の勧誘)
"
131,"リヴァーレアルバム発売決定おめでとうございます！ありがとうございます！おめでとうございます！ありがとうございます！
"
132,"今日はどーっしても休めなくてライビュも観に行けなかったんだけどTL見てるだけでめっちゃ幸せ😭ありがとうアイドリッシュセブン
"
133,"ライブ楽しすぎて体感時間3分だった・・・え・・・私・・・4時間気を失ってた・・・？
"
134,"ありがとうアイドリッシュセブン
"
135,"ユキさん最近環くんに吸血鬼って言われたりとらおちゃんに雪女って言われたり了さんに死神って言われたり散々でおもろい ユキさんだけでお化け屋敷がひらけてしまう(モモくん大喜び)👻
"
136,"男でも女でも二次元でも三次元でも若いころは切れ長でキツイ目つきだった人が年齢を重ねるにつれて目尻が下がって優しげな目もとになっていくのが好きすぎるんだよな〜・・・例えば私の推しカプの攻め
"
137,"めっ・・・ちゃくちゃ好き
"
138,"それにしてもこの人たち、、ボディタッチ多くない！？ゲームだと会話文オンリーだけど実はその行間で背を撫でたりぎゅっと腕を握りしめたり手を重ねたり背を抱き寄せたり肩に頰を埋めたりしがみついたり頭を撫でたり背を撫でたりしてたんだと思うとホント彼らがアニメになって動く日がおそろしいですよ
"
139,"前入居者が首吊り自殺した床のシミに正座して優しい眼差しで手を合わせる春原百瀬 リバーレ同棲時代のエモエピソードがまたひとつ増えてしまった・・・奇しくもコミカライズで万理の後追い自殺(勝手にころすな〜！)しようとしたユキさんも首を吊って死のうとしてたんですね・・・(笑うところ〜！)
"
140,"ユキ視点から見たモモがほんとにほんとにいじらしくてユキさんがいつも可愛い可愛い言ってるのめちゃわかる守りたいこの笑顔
"
141,"千古不磨前編めちゃ笑ったから後編も軽い気持ちで読み始めたらベショベショベショに泣いてしまった
"
142,"25歳のモモくん黒染めしてネイルとかピアスとか指輪外したら余裕で10代の姿に戻れるけどユキさんの開けたピアス穴だけは隠せなくてバージンだったあの頃にはもう戻れない感じ最高にユモい👼
"
143,"処女のモモくんと非処女のモモくんを交互に見ながらニヤニヤする遊び永遠に飽きないな・・・
"
144,"ユキモモジューンブライドして 
"
145,"ヤマさんとユキモモのユキ 
"
146,"すごいみんな異色の組み合わせだけどリバーレのとこだけセットなんですね(ｱｻﾞ─ｽ)
"
147,"たのしみ~!!!!!!
"
148,"いや〜アニナナ最終話見てからずっと気を失ってたので今つぶやきますけどリバーレすごかったな・・・こんな可愛い顔でダーリン ハニーなんてされたら誰もが""ガチやん""ってなるでしょ・・・全国のお茶の間がふたりの関係性に気づいてしまうでしょ・・・
"
149,"お茶会🐰ﾁｬ1話リバレふたりでどっちが先にマネ子から連絡くるか競争してるのめ〜ちゃ可愛いんですけどそのこと本人が知ったら気にさせてしまうから文面から悟らせないモモさすがだな・・・って思ったしそんなモモの気遣いもむなしく本人に得意げ… 
"
150,"「怒ってない。リラックスして」「はい😣💦」(数秒後)「した？」の折笠千斗、折笠千斗すぎてキレながら爆笑してる
"
151,"乱入者をボコボコになぎ倒して返り血を浴びて赤く染まる春原百瀬と 折笠千斗にじっと見つめられて額に汗を浮かべながら赤く染まる春原百瀬が同一人物という事実 最高に燃えるし最高に萌える
"
152,"1日遅れの感想を許してほしい 世界中の人に叫んでまわりたい 俺の推しカプ 籍を入れようとしてた 五年前すでにプロポーズをしてた いやこれはプロポーズではな 世界はそれをプロポーズと呼ぶんだぜ〜〜〜〜〜〜〜〜〜〜！！！！！！！！※ただし丁重に断られる
"
153,"3部19章でズ〜ルくんを脅すユキさんDom/Subユニバースの世界なら間違いなくDomの頂点に立ってた(何の話?)
"
154,"リバーレのモモが夫のいないところで他の男に「アンタの犬だよ♡わんわん♡」と言ったという事実、何度思い出してもニヤ………としてしまう
"
155,"最近のﾓﾓﾁｬﾝ 
"
156,"春原百瀬(声に出して読みたい日本語)
"
157,"ﾋﾓ笠千斗さん動くの疲れるからって女子に騎乗位してもらってるとこしか想像できないんだけど今は百くん相手にｶﾞﾝﾊﾞｯﾃ腰振ってるのかと思うとなんか・・・なんか・・・すげえーーー！！(腐女子の妄言です)
"
158,"しま先生の狂ったﾂｲーﾄとｳﾙﾄﾗ可愛い絵柄のｷﾞｬｯﾌﾟ・・・好き
"
159,"好き〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜！！！！！
"
160,"大トリを目指すにあたってセブンやトリガ〜は新曲をお蔵入りにさせない！とか社長を納得させて映画に出演する！とかメチャ熱なのにリバーレは大トリとれたらバンさんと温泉♡なのおもしろすぎる 需要と供給が一致しすぎている
"
161,"TF超ゆっくり進めててやっと一周した♨️リバーレ先輩ツアー中最初から最後までずっとイチャイチャしててたまに喧嘩はさんでくれないと私の精神の均衡が保てなくなることがわかった
"
162,"公式もなんの説明もなしにﾄﾞ-ﾝ!!!リバーレ記念日です!!!って言うから付き合った記念日??結婚記念日??って誤解を生む(問題無い)
"
163,"ﾓﾓﾁｬﾝ一発目で来てくれたのに何回回してもﾕｯｷが来ねえ〜〜寝てるのかな????
"
164,"リヴァ〜レェェェ(頭抱え)
"
165,"うちの173センチが一番かわいい！ 
"
166,"環くん最初は見た目だけの抱かれたい男だったかもしれないけどどんどん中身を伴う抱かれたい男になってるよな・・・抱いて・・・全世界を・・・
"
167,"20章泣いたり笑ったり泣いたりで感情が忙しかった😢😂😭4部までどれくらい間空くんだろ・・・
"
168,"トリガ〜拉致監禁の時にエロ同人が捗るな〜！ガハハ！って笑ってた自分を殴りたい・・・その数章後に更に上をゆく行為を推しちゃんが強いられる日が来るなんて 私は今なんのゲームをしてるんだ？
"
169,"こんなん実質モブレじゃないですか・・・お清めセッまでしてくれないと怒りが治りません(悪質クレーマー)
"
170,"昨日寝る前に見た新章は腐女子の見た幻だったのかもしれないと思って心を落ち着かせてもう一度見にいったけどやはり現実だった・・・こんなエロ同人みたいなことある？？？
"
171,"・・・？ 
"
172,"もう２月いっぱいは毎日猫の日でいいのでは！？ずっと見てたい
"
173,"手と背中のやつ自分でも願望込めすぎ・・・と思いながら描いたから引用とかで同意もらえてうれしい・・・でももっと細かったとしても好きだしもっと逞しかったとしても好きだから・・・すべての世界線のリバーレを愛してっから・・・サンキューリバーレ・・・
"
174,"リバーレユキさんペラペラすぎるくらいが個人的にはモエなんだけど公式絵ちゃんと胸板とか男らしいのズルイ・・・モモを抱くために生まれてきたようなカラダしやがって・・・
"
175,"特に意味のないメモ 
"
176,"アカウントつくったらガンガンつぶやこ〜！と思ってたのに人のツイート見てるだけで楽しくて満足してしまう・・・
"
177,"バンしゃん大好きりばれ 
"
178,"ヒェ〜こんな得体の知れないアカウントをフォローありがとうございます・・・せめてアイコンを・・・なんとかしたい・・・
"
179,"アイナナはユキモモと環壮が好きだな・・・って思ってて他にもCP関係なく全方位に萌えている！よろしくおねがいします Feb 03, 2018 何事に対しても「終わり」を想像してしまう節があるからナギぬいの顔見ながら「他のぬいならまだしもこのナギぬいだけはいつか手放す時がきたらちゃんと神社やお寺で供養してもらわないとヤバそう」と考えてしまう
"
180,"六弥ナギがみんなのオフが被ってることに気づいてみんなで何かしたい！！！となるの可愛いけどみんなのオフが被ってたとしても自分が休みたいタイミングだったら普通に静かにしてそうなの想像したら面白くなってきた
"
181,"はあ・・・ナギくん・・・かわいい・・・かわいい・・・あんなにかっこいいのに・・・かわいい・・・すごい・・・
"
182,"六弥ナギは健康に効く
"
183,"恐怖・・・・・・・・
"
184,"さっきまでの頭痛が消えたことに今気づいた
"
185,"妄想上の六弥ナギが可愛くなりすぎな自覚はあるけど映像で見るとまっっっっっっっっっじで恐ろしいほどかわいいから私は間違っていない・・・・・・・・・・・・・・・六弥ナギはかわいい・・・・・・・・・・・・・・・
"
186,"運営がナギ担をどうするつもりなのかは置いておくとしてまっっっっっっっっっっじで映像化においての不安がまっっっっっっっっっったくなくてすごい・・・・・・・・・・・・・・・・・・・・・神・・・・・・・・・・・・・・・・・
"
187,"いやただ単に供給に素直に喜べばいいのは分かるし実際めちゃくちゃ喜んでるけどアイナナオタクとしての経験上「ハッピーなことがあるとその後めちゃくちゃ落とされる」と体が覚えているので
"
188,"何かの実験なのか・・・？
"
189,"ナギ担をどうするつもりなんだ運営は
"
190,"飴と鞭とかいうレベルではない　私はおかしいと思います
"
191,"からの4部だよ！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
"
192,"巻き込まれた男で六弥ナギの可愛い所からかっこいい所まで全部観れて泣いて喜んでその後のPARTY TIME〜でひたすらかわいい六弥ナギを浴びせられてアイドリッシュセブン最高！運営様ありがとう！という心境だけどその運営によって1周年ニ… 
"
193,"ノックが重いのマジでサイコーだったな・・・
"
194,"いや六弥ナギハイパーかわいい生き物だったけど逢坂壮五のオフの楽しみ方が胸にきすぎてやばい
"
195,"これ描いた時大和さんさすがにここまではならんかな〜と思ってたけど全然なってた・・・
"
196,"今まで同人誌で描いてて「やりすぎかな〜」と思ってた描写が悉く許容範囲だということが分かってしまった
"
197,"逢坂壮五のオフの楽しみ方めっちゃ胸にくる
"
198,"まじで一周回って冷静になった
"
199,"終わった
"
200,"ボーナスタイムが過ぎる
"
201,"なに
"
202,"ノックまじで重すぎる
"
203,"ノックに体重が乗ってる
"
204,"かわいそうかわいい😭😭😭😭😭😭😭😭
"
205,"よく聴きたい時に手のひらを耳の後ろに当てるオタクｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
"
206,"かわいそう😭😭😭😭😭😭😭😭😭😭😭
"
207,"ビール飲み終わる描写リアルすぎて爆笑したｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
"
208,"か、かわいい
"
209,"かわいい！！！！！！！！！！！！
"
210,"自分から私は頭がおかしいでーす！と言うのは意味わからんけど今自分の頭が正常かと聞かれたら自信を持ってはいと言えない
"
211,"ビブラートでナギ推しの頭がおかしくなるらしいけど今のすでにわりとおかしくなってる状態で見れば逆に正常になる可能性
"
212,"ビブラート観よ〜〜〜〜〜〜⤴︎⤵︎⤴︎⤵︎⤴︎⤵︎⤴︎⤵︎
"
213,"頭いて〜
"
214,"3部読了からのあのビジュアルからの宗教画という流れ今思い出してもすごいな・・・・・・・・・・・・・・・なんてことを・・・・・・・・・
"
215,"ビブラートと3部読了同時を自分に置き換えて考えたら「死」が見えた
"
216,"すごい 人様が三部を読み終えた瞬間に立ち会ってしまった
"
217,"ビブラート観たらレヴュースタァライト観よ・・・
"
218,"「少女☆歌劇 レヴュースタァライト」第1話～第6話 レヴューシーンダイジェスト映像  @YouTubeより
"
219,"This is 天堂真矢
"
220,"アツい伏線回収
"
221,"アイドリッシュセブンがDHCアンバサダーに就任したため10割六弥ナギになった
"
222,"だって銃弾避ける六弥ナギかっこよすぎるんだもの・・・・・・と考えてたら涙が出てきました 最高すぎる・・・推してたことになんの悔いもない・・・
"
223,"隙あらば六弥ナギが銃弾を避ける話
"
224,"私がアイナナ界で初期から六弥ナギのファンやってたとしてまさか休止期間中に銃弾避けてるとは思わんだろうな
"
225,"「ここなはやっぱりエンジェル🎵😚」
"
226,"そういうことだったのか・・・
"
227,"ココアって一文字変えるとここなじゃん
"
228,"まだ肌を荒らすタイミングではない
"
